title,year,decade,combo_score,combo_rk,metacritic_score,metacritic_rk,imdb_score,imdb_rk,certificate,runtime_mins,genre1,genre2,genre3,director,star1,star2,star3,star4,gross,gross_rk,gross_adj_2023,gross_adj_2023_rk,imdb_votes,description
The Apartment,1960,1960,89.05,11,94,7,83,8,Approved,125,Comedy,Drama,Romance,Billy Wilder,Jack Lemmon,Shirley MacLaine,Fred MacMurray,Ray Walston,18600000,66,191466891,49,195558,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
Sunrise,1927,1920,88.7,12,95,6,81,10,Passed,94,Drama,Romance,,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing,539540,83,9448151,84,53630,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
Moonlight,2016,2010,87.75,13,99,2,74,17,R,111,Drama,,,Barry Jenkins,Mahershala Ali,Naomie Harris,Trevante Rhodes,Alex R. Hibbert,27854932,63,35364157,81,329926,"A young African-American man grapples with his identity and sexuality while experiencing the everyday struggles of childhood, adolescence, and burgeoning adulthood."
The Best Years of Our Lives,1946,1940,87.6,14,93,8,81,10,Approved,170,Drama,Romance,War,William Wyler,Myrna Loy,Dana Andrews,Fredric March,Teresa Wright,23650000,65,369546410,24,70122,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
Spotlight,2015,2010,87.6,14,93,8,81,10,R,129,Biography,Crime,Drama,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,45055776,49,57926139,78,499806,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core."
No Country for Old Men,2007,2000,87.5,15,92,9,82,9,R,122,Crime,Drama,Thriller,Ethan Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,Woody Harrelson,74283625,35,109185820,63,1052343,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.
Oppenheimer,2023,2020,87.3,16,90,11,84,7,R,180,Biography,Drama,History,Christopher Nolan,Cillian Murphy,Emily Blunt,Matt Damon,Robert Downey Jr.,326108000,4,326108000,29,676838,"The story of American scientist <a href=""/name/nm0649185"">J. Robert Oppenheimer</a> and his role in the development of the atomic bomb."
Platoon,1986,1980,87.05,17,92,9,81,10,R,120,Drama,War,,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,138530565,15,385130138,21,437306,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict."
My Fair Lady,1964,1960,86.9,18,95,6,77,14,G,170,Drama,Family,Musical,George Cukor,Audrey Hepburn,Rex Harrison,Stanley Holloway,Wilfrid Hyde-White,72000000,37,707690322,7,101388,"In 1910s London, snobbish phonetics professor Henry Higgins agrees to a wager that he can make crude flower girl, Eliza Doolittle, presentable in high society."
Annie Hall,1977,1970,86.6,19,92,9,80,11,PG,93,Comedy,Romance,,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,39200000,58,197099669,47,277283,"Alvy Singer, a divorced Jewish comedian, reflects on his relationship with ex-lover Annie Hall, an aspiring nightclub singer, which ended abruptly just like his previous marriages."
All Quiet on the Western Front,1930,1930,86.5,20,91,10,81,10,Passed,152,Drama,War,,Lewis Milestone,Lew Ayres,Louis Wolheim,John Wray,Arnold Lucy,3270000,80,59662814,77,67394,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
On the Waterfront,1954,1950,86.5,20,91,10,81,10,Approved,108,Crime,Drama,Thriller,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,9600000,72,108740520,65,163900,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims."
The French Connection,1971,1970,86.35,21,94,7,77,14,R,104,Action,Crime,Drama,William Friedkin,Gene Hackman,Roy Scheider,Fernando Rey,Tony Lo Bianco,15630710,70,117596971,61,134784,"A pair of NYPD detectives in the Narcotics Bureau stumble onto a heroin smuggling ring based in Marseilles, but stopping them and capturing their leaders proves an elusive goal."
The Silence of the Lambs,1991,1990,86,22,86,15,86,5,R,118,Crime,Drama,Thriller,Jonathan Demme,Jodie Foster,Anthony Hopkins,Scott Glenn,Ted Levine,130742922,19,292491691,31,1538735,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
The Hurt Locker,2008,2000,86,22,95,6,75,16,R,131,Drama,Thriller,War,Kathryn Bigelow,Jeremy Renner,Anthony Mackie,Brian Geraghty,Guy Pearce,17017811,67,24084194,82,472151,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work."
Ben-Hur,1959,1950,85.95,23,90,11,81,10,G,212,Adventure,Drama,,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,74700000,34,782168041,6,252209,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge."
The Deer Hunter,1978,1970,85.95,23,90,11,81,10,R,183,Drama,War,,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,48979328,48,228895724,39,360533,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.
Amadeus,1984,1980,85.65,24,87,14,84,7,R,160,Biography,Drama,Music,Milos Forman,F. Murray Abraham,Tom Hulce,Elizabeth Berridge,Roy Dotrice,51973029,47,152417535,57,425539,"The life, success and troubles of <a href=""/name/nm0003665"">Wolfgang Amadeus Mozart</a>, as told by <a href=""/name/nm0758283"">Antonio Salieri</a>, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
One Flew Over the Cuckoo's Nest,1975,1970,85.35,25,84,17,87,4,R,133,Drama,,,Milos Forman,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,112000000,22,634319702,9,1067244,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
